county,employment_1990,employment_2015,wages_1990,wages_2015
"Holt County, Missouri",1230,1277,471.484,577
"Richland Parish, Louisiana",5542,6429,487.8046,577
"Douglas County, South Dakota",823,1107,408.015,578
"Avoyelles Parish, Louisiana",7466,10788,417.082,578
"Anderson County, Kansas",1761,1939,458.7902,578
"Tucker County, West Virginia",2650,2813,475.1108,578
"Edwards County, Texas",399,367,496.8716,578
"Seminole County, Georgia",2020,2298,498.685,578
"Knox County, Kentucky",6036,7751,513.1922,578
"Caldwell Parish, Louisiana",2075,2389,534.953,578
"Randolph County, Alabama",5408,4820,538.5798,578
"Yadkin County, North Carolina",7294,9557,547.6468,578
"Pike County, Missouri",4739,5909,558.5272,578
"Charles Mix County, South Dakota",2243,3350,433.4026,579
"Cooper County, Missouri",4173,4935,456.9768,579
"Stoddard County, Missouri",9083,9773,493.2448,579
"Perry County, Pennsylvania",5909,7575,515.0056,579
"Grayson County, Virginia",3032,2424,553.087,579
"Manati Municipio, Puerto Rico",14496,14018,206.7276,580
"Tunica County, Mississippi",1970,8787,417.082,580
"Coal County, Oklahoma",1019,1163,437.0294,580
"Crawford County, Georgia",940,1295,462.417,580
"Lincoln County, Kentucky",2404,3995,466.0438,580
"Lee County, Kentucky",1441,1675,469.6706,580
"Geneva County, Alabama",5960,4848,482.3644,580
"Shawano County, Wisconsin",9532,12132,509.5654,580
"Bamberg County, South Carolina",4162,3970,538.5798,580
"Boundary County, Idaho",2253,3239,558.5272,580
"Waushara County, Wisconsin",3886,5784,467.8572,581
"Briscoe County, Texas",359,329,495.0582,581
"Greene County, Alabama",2467,1722,511.3788,581
"Jeff Davis County, Texas",473,929,511.3788,581
"Hancock County, Illinois",4397,3716,513.1922,581
"Lonoke County, Arkansas",7657,13479,520.4458,581
"Teton County, Montana",1330,1752,527.6994,581
"Greer County, Oklahoma",1415,1195,544.02,581
"Love County, Oklahoma",1805,5220,545.8334,581
"Maunabo Municipio, Puerto Rico",1109,1401,308.278,582
"Suwannee County, Florida",7332,10980,531.3262,582
"Allen County, Kansas",5298,5842,540.3932,582
"Rockbridge County, Virginia",5472,5335,585.7282,582
"Mckinley County, New Mexico",16870,20553,589.355,582
"Transylvania County, North Carolina",9244,8101,772.5084,582
"Emmons County, North Dakota",979,904,411.6418,583
"Nelson County, North Dakota",1083,1003,431.5892,583
"Breckinridge County, Kentucky",2333,3445,464.2304,583
"Estill County, Kentucky",2178,2349,466.0438,583
"Grady County, Georgia",5946,5917,473.2974,583
"Blaine County, Montana",1562,1460,480.551,583
"Lunenburg County, Virginia",3178,2431,487.8046,583
"Mecklenburg County, Virginia",13177,11384,493.2448,583
"Marion County, South Carolina",12296,6393,522.2592,583
"Adair County, Missouri",9514,9697,540.3932,583
"Carter County, Tennessee",9912,10460,556.7138,583
"Putnam County, Georgia",4162,5304,625.623,583
"Mercer County, Missouri",629,1692,455.1634,584
"Lampasas County, Texas",2674,4608,456.9768,584
"Kiowa County, Oklahoma",2469,2252,462.417,584
"Keith County, Nebraska",3167,3290,478.7376,584
"Hardy County, West Virginia",3687,5688,480.551,584
"Pocahontas County, West Virginia",3660,3380,484.1778,584
"Hughes County, Oklahoma",2221,3253,485.9912,584
"McDuffie County, Georgia",6530,6767,515.0056,584
"Dixon County, Nebraska",1842,1702,518.6324,584
"Horry County, South Carolina",58094,109421,524.0726,584
"Robeson County, North Carolina",35500,38312,549.4602,584
"Hamilton County, New York",1510,1667,594.7952,584
"Grenada County, Mississippi",9278,10326,611.1158,584
"Pittsylvania County, Virginia",14780,12254,712.6662,584
"Sierra County, California",863,458,792.4558,584
"Aurora County, South Dakota",726,879,400.7614,585
"Jefferson County, Florida",2711,2517,493.2448,585
"Adair County, Oklahoma",3579,4479,507.752,585
"Gloucester County, Virginia",6271,9050,525.886,585
"Caswell County, North Carolina",2664,2967,540.3932,585
"Lawrence County, Tennessee",11749,10121,598.422,585
"Jackson County, Iowa",5379,6119,460.6036,586
"Clinton County, Missouri",3125,3821,467.8572,586
"Grundy County, Missouri",3386,3512,485.9912,586
"Scott County, Mississippi",9972,13139,491.4314,586
"Ottawa County, Oklahoma",8678,11872,493.2448,586
"Cass County, Missouri",11024,24716,534.953,586
"Rush County, Kansas",1096,1191,534.953,586
"Fremont County, Idaho",1963,2382,549.4602,586
"Missaukee County, Michigan",1649,3032,569.4076,586
"Wayne County, Tennessee",3669,3806,433.4026,587
"Edmonson County, Kentucky",1260,1461,447.9098,587
"Claiborne County, Tennessee",7449,8578,471.484,587
"Caldwell County, Kentucky",3556,4096,484.1778,587
"Rio Arriba County, New Mexico",6873,9399,520.4458,587
"Braxton County, West Virginia",3229,3775,656.4508,587
"Pierce County, Georgia",2586,3852,469.6706,588
"Hyde County, North Carolina",1171,1866,476.9242,588
"Madison County, Arkansas",1996,3184,487.8046,588
"Irwin County, Georgia",1751,1750,493.2448,588
"Benzie County, Michigan",2629,3732,527.6994,588
"Scott County, Virginia",4056,4661,536.7664,588
"Coffee County, Georgia",11801,15344,545.8334,588
"Franklin City, Virginia",3358,4401,551.2736,588
"Drew County, Arkansas",5780,6360,554.9004,588
"Rutherford County, North Carolina",23745,18122,591.1684,588
"Mitchell County, Georgia",5985,7528,467.8572,589
"Sherman County, Kansas",2388,2520,475.1108,589
"Pike County, Illinois",3487,4056,478.7376,589
"Washington County, Utah",13976,54416,498.685,589
"Sevier County, Arkansas",4399,4730,498.685,589
"Hayes County, Nebraska",193,203,500.4984,589
"Charlotte County, Virginia",2732,2723,518.6324,589
"Tattnall County, Georgia",5452,5734,525.886,589
"Stone County, Mississippi",2872,3972,527.6994,589
"Dare County, North Carolina",9257,15513,540.3932,589
"Nodaway County, Missouri",7361,7633,560.3406,589
"Ohio County, Kentucky",4825,7264,583.9148,589
"Potter County, South Dakota",906,813,411.6418,590
"Bon Homme County, South Dakota",1864,1736,440.6562,590
"Brown County, Nebraska",1036,1203,449.7232,590
"Clark County, Kansas",660,748,464.2304,590
"Grayson County, Kentucky",5323,7444,482.3644,590
"Covington County, Mississippi",3556,4972,485.9912,590
"Essex County, Virginia",3439,3769,504.1252,590
"Atkinson County, Georgia",1507,1865,504.1252,590
"Beaver County, Utah",1217,2724,515.0056,590
"Pike County, Georgia",1209,2701,515.0056,590
"Cumberland County, Tennessee",9654,16777,522.2592,590
"Henry County, Indiana",12815,12604,663.7044,590
"Jerauld County, South Dakota",614,1478,389.881,591
"Antelope County, Nebraska",1990,2063,435.216,591
"Brooks County, Georgia",3397,2994,449.7232,591
"Pendleton County, West Virginia",1950,1533,478.7376,591
"Vernon County, Wisconsin",5682,8431,485.9912,591
"Union County, New Mexico",1136,1362,498.685,591
"Highlands County, Florida",21223,27328,522.2592,591
"Cameron County, Texas",75964,134684,525.886,591
"Macon County, North Carolina",6699,10390,527.6994,591
"Anson County, North Carolina",9007,7552,534.953,591
"Wythe County, Virginia",8486,11331,553.087,591
"Calloway County, Kentucky",10790,16125,562.154,591
"Pontotoc County, Mississippi",8000,12184,571.221,591
"Walker County, Georgia",14730,12037,598.422,591
"Barnwell County, South Carolina",7203,5303,600.2354,591
"Phillips County, Montana",1572,1227,616.556,591
"Catano Municipio, Puerto Rico",8385,10129,364.4934,592
"Archuleta County, Colorado",1343,3631,484.1778,592
"Clay County, Alabama",4348,3861,498.685,592
"Mercer County, Illinois",2582,3095,502.3118,592
"Butler County, Alabama",5893,6805,538.5798,592
"Lee County, Georgia",1802,5711,544.02,592
"Gilchrist County, Florida",1816,3201,549.4602,592
"Taylor County, Georgia",1600,1607,571.221,592
"Highland County, Ohio",8800,10091,574.8478,592
"Jefferson County, Oklahoma",1342,1139,447.9098,593
"Comanche County, Texas",2955,3636,498.685,593
"Barber County, Kansas",2068,1767,520.4458,593
"Cocke County, Tennessee",6887,7307,524.0726,593
"Livingston County, Missouri",5472,6150,545.8334,593
"Wayne County, Illinois",3991,4043,551.2736,593
"Bell County, Kentucky",9443,8471,585.7282,593
"Lyon County, Kansas",14360,14696,625.623,593
"Wells County, North Dakota",1467,1530,411.6418,594
"Maverick County, Texas",8252,17260,451.5366,594
"Campbell County, Tennessee",8486,8794,484.1778,594
"Elmore County, Idaho",4831,6337,485.9912,594
"Butte County, South Dakota",2036,2856,498.685,594
"Jo Daviess County, Illinois",6701,7374,502.3118,594
"Jackson County, Tennessee",1807,1455,513.1922,594
"Richmond County, North Carolina",17312,13441,556.7138,594
"Fountain County, Indiana",4377,4656,563.9674,594
"Wallowa County, Oregon",2117,2241,563.9674,594
"Gray County, Kansas",1572,3245,665.5178,594
"Turner County, South Dakota",1744,1977,418.8954,595
"Grand County, Colorado",4893,7668,467.8572,595
"Cherokee County, Oklahoma",9228,15656,469.6706,595
"Prairie County, Arkansas",1830,1539,482.3644,595
"Winston County, Alabama",8264,7217,498.685,595
"Brunswick County, Virginia",4289,3921,529.5128,595
"Concordia Parish, Louisiana",4427,5623,531.3262,595
"Jefferson Davis County, Mississippi",2635,1666,433.4026,596
"Carroll County, Tennessee",8525,7393,467.8572,596
"Harmon County, Oklahoma",764,697,467.8572,596
"Chickasaw County, Mississippi",8115,5477,491.4314,596
"Edwards County, Kansas",1087,989,500.4984,596
"Marion County, Alabama",10262,9434,565.7808,596
"McCurtain County, Oklahoma",9212,10873,614.7426,596
"Polk County, Missouri",5411,7974,458.7902,597
"DeKalb County, Missouri",2165,3494,462.417,597
"Ashe County, North Carolina",6957,6466,500.4984,597
"Clark County, Arkansas",7234,9048,509.5654,597
"Fulton County, Illinois",9481,8030,513.1922,597
"Rowan County, Kentucky",6610,10002,551.2736,597
"Pettis County, Missouri",14277,19020,576.6612,597
"Winston County, Mississippi",5988,4482,585.7282,597
"Owyhee County, Idaho",1595,2615,649.1972,597
"Polk County, Nebraska",1433,1468,442.4696,598
"Spencer County, Kentucky",812,1832,446.0964,598
"Pearl River County, Mississippi",6774,10030,484.1778,598
"Logan County, Oklahoma",5332,7152,484.1778,598
"Sawyer County, Wisconsin",3383,5992,485.9912,598
"Gosper County, Nebraska",368,384,496.8716,598
"Watonwan County, Minnesota",4186,3912,500.4984,598
"Crittenden County, Arkansas",13821,16497,525.886,598
"Amite County, Mississippi",2071,1750,536.7664,598
"Randolph County, West Virginia",8538,11216,554.9004,598
"Sevier County, Utah",4810,8097,565.7808,598
"Jeff Davis County, Georgia",5740,4474,585.7282,598
"Fayette County, Alabama",5705,3897,643.757,598
"Wheeler County, Georgia",977,1145,458.7902,599
"Benton County, Mississippi",986,890,471.484,599
"Washington County, Iowa",5490,8059,522.2592,599
"Madison County, Florida",4491,4294,533.1396,599
"Lincoln County, Idaho",812,1472,542.2066,599
"Northampton County, North Carolina",4224,5258,544.02,599
"Dixie County, Florida",2356,2525,544.02,599
"Stanly County, North Carolina",21239,18516,594.7952,599
"Borden County, Texas",131,238,605.6756,599
"Henry County, Virginia",24830,15041,612.9292,599
"Saline County, Arkansas",12262,22354,623.8096,599
"Rawlins County, Kansas",986,890,420.7088,600
"Holt County, Nebraska",3348,4503,431.5892,600
"Corson County, South Dakota",603,845,466.0438,600
"Hamilton County, Texas",1839,2459,485.9912,600
"Duplin County, North Carolina",15182,19675,505.9386,600
"Butler County, Missouri",13075,18821,513.1922,600
"Chattooga County, Georgia",7043,6142,549.4602,600
"Surry County, North Carolina",32566,27607,554.9004,600
"La Paz County, Arizona",4519,5536,574.8478,600
"Adams County, Idaho",763,914,591.1684,600
"Roberts County, South Dakota",2345,3364,426.149,601
"Lee County, Arkansas",2227,1975,466.0438,601
"Tillman County, Oklahoma",2467,2022,491.4314,601
"Howell County, Missouri",10939,14841,493.2448,601
"Mitchell County, North Carolina",5163,4708,495.0582,601
"Middlesex County, Virginia",2084,2986,495.0582,601
"Coffee County, Alabama",12241,15031,505.9386,601
"Desha County, Arkansas",4866,4396,531.3262,601
"Harnett County, North Carolina",17651,23076,533.1396,601
"Hoke County, North Carolina",6834,7585,533.1396,601
"Bourbon County, Kansas",5611,6231,549.4602,601
"Piscataquis County, Maine",6022,5353,549.4602,601
"Taylor County, Kentucky",9750,10845,554.9004,601
"Lumpkin County, Georgia",3433,6855,554.9004,601
"Martinsville City, Virginia",18089,9593,582.1014,601
"Tallapoosa County, Alabama",16976,13100,583.9148,601
"Fayette County, Illinois",4614,5333,500.4984,602
"Fillmore County, Minnesota",5516,5738,507.752,602
"Leflore County, Mississippi",13967,13890,509.5654,602
"Carroll County, Indiana",4044,5193,571.221,602
"Garrard County, Kentucky",2099,2280,442.4696,603
"McLean County, Kentucky",1575,1973,460.6036,603
"Red Lake County, Minnesota",992,962,469.6706,603
"Worth County, Georgia",3244,3234,475.1108,603
"Haskell County, Texas",1593,1697,484.1778,603
"Ziebach County, South Dakota",234,289,484.1778,603
"White County, Georgia",3713,6805,515.0056,603
"Fayette County, Iowa",6059,7026,516.819,603
"Garrett County, Maryland",9137,11396,549.4602,603
"Daviess County, Indiana",8443,11086,558.5272,603
"Snyder County, Pennsylvania",14525,15514,576.6612,603
"Lincoln County, Minnesota",1422,1585,415.2686,604
"Faulk County, South Dakota",537,568,429.7758,604
"Tensas Parish, Louisiana",1177,999,473.2974,604
"Marshall County, Oklahoma",2806,4244,485.9912,604
"San Juan County, Washington",2984,4867,500.4984,604
"Calhoun County, Iowa",2967,2865,504.1252,604
"Greene County, Illinois",3010,2333,545.8334,604
"Nelson County, Virginia",2793,4428,549.4602,604
"Hocking County, Ohio",6207,6292,631.0632,604
"Murray County, Georgia",8710,9020,636.5034,604
"Bent County, Colorado",1333,1142,641.9436,604
"Perquimans County, North Carolina",1820,1905,433.4026,605
"Tripp County, South Dakota",1908,2038,451.5366,605
"Cedar County, Nebraska",2173,2684,453.35,605
"Hickman County, Tennessee",2882,3696,456.9768,605
"Park County, Montana",3273,5220,504.1252,605
"Grand Isle County, Vermont",539,986,515.0056,605
"Conecuh County, Alabama",3889,3504,525.886,605
"Bulloch County, Georgia",13936,24400,549.4602,605
"Amherst County, Virginia",9207,8456,620.1828,605
"Hutchinson County, South Dakota",2188,2561,424.3356,606
"Allamakee County, Iowa",4341,5081,469.6706,606
"Lawrence County, Missouri",7505,8922,480.551,606
"Pender County, North Carolina",5986,10257,482.3644,606
"Washburn County, Wisconsin",3778,5597,493.2448,606
"Cherokee County, Alabama",4241,5083,496.8716,606
"Lafayette County, Arkansas",1975,1235,498.685,606
"Mahnomen County, Minnesota",1026,1859,513.1922,606
"Lincoln County, Oklahoma",5100,6797,518.6324,606
"DeKalb County, Alabama",18569,20660,527.6994,606
"Washington County, Indiana",6078,5736,531.3262,606
"Morgan County, West Virginia",2327,2691,534.953,606
"DeSoto County, Mississippi",19496,52083,621.9962,606
"Clay County, Mississippi",8060,5090,645.5704,606
"Traverse County, Minnesota",1064,1001,484.1778,607
"Floyd County, Texas",2049,1489,498.685,607
"White County, Tennessee",6212,6430,511.3788,607
"Stanley County, South Dakota",705,1224,527.6994,607
"Saline County, Missouri",8968,8791,536.7664,607
"Talbot County, Georgia",792,722,542.2066,607
"Southampton County, Virginia",3970,3653,571.221,607
"Flagler County, Florida",7635,20763,574.8478,607
"Cassia County, Idaho",6308,10181,576.6612,607
"McIntosh County, North Dakota",1164,1092,369.9336,608
"Metcalfe County, Kentucky",2596,1773,380.814,608
"Mills County, Texas",1163,1352,446.0964,608
"Jersey County, Illinois",3578,4565,471.484,608
"Yalobusha County, Mississippi",3237,2945,475.1108,608
"Lake County, Michigan",1036,1338,475.1108,608
"Keokuk County, Iowa",2313,2317,482.3644,608
"Thomas County, Kansas",3429,3885,491.4314,608
"Hidalgo County, Texas",107784,244173,493.2448,608
"Butler County, Kentucky",3633,2773,495.0582,608
"Dickens County, Texas",644,439,502.3118,608
"Murray County, Oklahoma",2991,5964,525.886,608
"Ellsworth County, Kansas",2210,2341,527.6994,608
"Meigs County, Tennessee",1394,1897,534.953,608
"Roosevelt County, New Mexico",4060,6063,538.5798,608
"Jones County, Georgia",2186,4220,565.7808,608
"Decatur County, Georgia",10146,8112,585.7282,608
"Perry County, Ohio",6157,5391,678.2116,608
"Bonner County, Idaho",41114,12370,97.9236,609
"Montmorency County, Michigan",1894,1794,431.5892,609
"Juab County, Utah",1659,3384,442.4696,609
"Hempstead County, Arkansas",7267,7690,518.6324,609
"Iosco County, Michigan",7901,7040,522.2592,609
"Gadsden County, Florida",13775,12449,558.5272,609
"Pike County, Pennsylvania",6025,10152,558.5272,609
"Washington County, Florida",4052,5533,562.154,609
"Twin Falls County, Idaho",20937,35341,571.221,609
"Doniphan County, Kansas",2338,2251,602.0488,609
"Pierce County, Nebraska",1616,1969,451.5366,610
"Wibaux County, Montana",203,303,462.417,610
"Jefferson County, Nebraska",2954,3253,478.7376,610
"Montgomery County, Georgia",1636,1561,493.2448,610
"Fergus County, Montana",3414,4219,504.1252,610
"Lee County, Virginia",4421,4378,536.7664,610
"Steuben County, Indiana",13354,15270,612.9292,610
"Abbeville County, South Carolina",6640,5470,623.8096,610
"Trego County, Kansas",1013,1241,426.149,611
"Trinity County, Texas",1923,2330,485.9912,611
"Pipestone County, Minnesota",3072,4319,504.1252,611
"Covington County, Alabama",13342,12082,520.4458,611
"Langlade County, Wisconsin",6465,7208,524.0726,611
"Alcona County, Michigan",1097,1559,542.2066,611
"Vance County, North Carolina",18175,14811,553.087,611
"Sanilac County, Michigan",9784,10465,587.5416,611
"Union County, Indiana",1139,1247,476.9242,612
"Wetzel County, West Virginia",4520,4445,478.7376,612
"Redwood County, Minnesota",4953,6299,482.3644,612
"Walton County, Florida",7365,22021,495.0582,612
"Marshall County, Kansas",3588,4591,505.9386,612
"Newton County, Missouri",13885,17004,540.3932,612
"McCormick County, South Carolina",2359,1689,567.5942,612
"Macoupin County, Illinois",10555,9956,627.4364,612
"Blaine County, Nebraska",161,117,389.881,613
"Pope County, Illinois",549,548,487.8046,613
"Montgomery County, North Carolina",10827,9237,531.3262,613
"Nottoway County, Virginia",5566,5764,547.6468,613
"Stonewall County, Texas",636,520,571.221,613
"Washington County, Mississippi",23002,17274,580.288,613
"Clay County, Indiana",5941,7344,616.556,613
"Worth County, Iowa",1789,2247,1133.375,613
"Willacy County, Texas",3589,3873,426.149,614
"Uvalde County, Texas",7648,9800,451.5366,614
"Blount County, Alabama",7212,7932,482.3644,614
"Onslow County, North Carolina",30058,48118,493.2448,614
"Swisher County, Texas",2158,1833,529.5128,614
"Chaffee County, Colorado",3981,6776,531.3262,614
"Natchitoches Parish, Louisiana",9400,12899,533.1396,614
"Butts County, Georgia",3597,5923,534.953,614
"Johnson County, Kentucky",5694,5577,551.2736,614
"Marion County, Missouri",11075,13229,560.3406,614
"Gulf County, Florida",3382,3558,712.6662,614
"Northampton County, Virginia",4215,4573,478.7376,615
"Kiowa County, Kansas",1159,1226,489.618,615
"Marion County, Mississippi",6881,7734,493.2448,615
"Roane County, West Virginia",3090,2975,520.4458,615
"Van Zandt County, Texas",5986,10161,534.953,615
"Hardin County, Illinois",965,746,553.087,615
"Paulding County, Georgia",5433,21076,554.9004,615
"Davie County, North Carolina",9284,11381,563.9674,615
"Warren County, Missouri",4812,6841,578.4746,615
"Clinch County, Georgia",1848,2234,580.288,615
"Gladwin County, Michigan",3481,3910,589.355,615
"Fayette County, Ohio",8011,11103,598.422,615
"Madison County, Virginia",1935,3003,475.1108,616
"Mitchell County, Kansas",2844,3395,489.618,616
"Bryan County, Georgia",2501,7113,491.4314,616
"Mackinac County, Michigan",2332,3031,491.4314,616
"Marshall County, Mississippi",5389,6032,495.0582,616
"Red Willow County, Nebraska",4404,5252,496.8716,616
"Tipton County, Tennessee",7274,10905,525.886,616
"Mille Lacs County, Minnesota",6837,9175,542.2066,616
"Erath County, Texas",9641,15757,554.9004,616
"Elmore County, Alabama",9518,18947,565.7808,616
"Hernando County, Florida",20289,39229,573.0344,616
"Catoosa County, Georgia",11212,14664,580.288,616
"Franklin County, Maine",12230,11111,614.7426,616
"Linn County, Missouri",4606,3818,475.1108,617
"Howard County, Iowa",2848,4137,480.551,617
"Prince Edward County, Virginia",7162,8462,527.6994,617
"Garland County, Arkansas",26672,35699,529.5128,617
"Franklin County, Georgia",5417,7301,531.3262,617
"Pacific County, Washington",5212,5867,533.1396,617
"Carroll County, New Hampshire",14919,19224,534.953,617
"Sumner County, Kansas",5676,7170,536.7664,617
"Webster County, Georgia",353,499,542.2066,617
"Greene County, Virginia",1624,3404,560.3406,617
"Crawford County, Kansas",13151,16598,580.288,617
"Jackson County, Alabama",15557,15996,629.2498,617
"Hart County, Kentucky",2843,4813,464.2304,618
"Burt County, Nebraska",1757,1841,475.1108,618
"DeSoto County, Florida",8453,8510,489.618,618
"Bandera County, Texas",1487,3037,498.685,618
"Itawamba County, Mississippi",5414,6191,509.5654,618
"San Jacinto County, Texas",1268,2073,554.9004,618
"Halifax County, North Carolina",19300,15525,571.221,618
"Lawrence County, Alabama",6744,4577,748.9342,618
"Frontier County, Nebraska",703,731,446.0964,619
"Union County, Georgia",3081,6429,471.484,619
"Ray County, Missouri",3435,4189,471.484,619
"Cumberland County, Illinois",1419,2528,475.1108,619
"Crisp County, Georgia",8014,8009,489.618,619
"Evangeline Parish, Louisiana",6573,8202,515.0056,619
"Coahoma County, Mississippi",9323,7979,533.1396,619
"Bracken County, Kentucky",1159,1294,574.8478,619
"Holmes County, Ohio",10079,18171,576.6612,619
"Craig County, Oklahoma",4918,5472,594.7952,619
"Wakulla County, Florida",2517,5267,614.7426,619
"Lake County, Colorado",1786,2310,629.2498,619
"Nance County, Nebraska",927,1107,424.3356,620
"Copiah County, Mississippi",6753,6998,482.3644,620
"Rooks County, Kansas",1752,1989,500.4984,620
"Cherokee County, Texas",13769,14379,520.4458,620
"McClain County, Oklahoma",3740,8827,531.3262,620
"Carroll County, Illinois",4410,3832,538.5798,620
"McDowell County, North Carolina",15571,15996,567.5942,620
"Laurel County, Kentucky",14852,25189,569.4076,620
"Staunton City, Virginia",10003,11032,589.355,620
"Meriwether County, Georgia",5879,4361,589.355,620
"Union County, Florida",3512,3501,605.6756,620
"Hot Spring County, Arkansas",6459,8386,614.7426,620
"Bingham County, Idaho",10927,13835,665.5178,620
"Forest County, Wisconsin",2057,3016,404.3882,621
"Murray County, Minnesota",2134,2793,464.2304,621
"Baylor County, Texas",1233,1201,476.9242,621
"Malheur County, Oregon",9778,12008,520.4458,621
"Franklin County, Alabama",8139,9919,522.2592,621
"Gage County, Nebraska",8036,8925,527.6994,621
"Phillips County, Kansas",2244,2514,560.3406,621
"Morgan County, Tennessee",2793,3048,571.221,621
"Lawrence County, Ohio",10835,12249,574.8478,621
"Tazewell County, Virginia",14068,15286,616.556,621
"Franklin County, Illinois",8854,8069,738.0538,621
"Poinsett County, Arkansas",6265,5092,469.6706,622
"Lamar County, Georgia",3463,3608,500.4984,622
"Greene County, Georgia",4133,5439,515.0056,622
"Kingman County, Kansas",2166,2428,518.6324,622
"Prowers County, Colorado",4603,4388,522.2592,622
"Harper County, Kansas",2310,2308,522.2592,622
"Harrison County, Indiana",6421,9874,529.5128,622
"Clark County, Illinois",3517,4625,531.3262,622
"Curry County, Oregon",5170,5999,538.5798,622
"Shelby County, Illinois",4271,4578,556.7138,622
"Harper County, Oklahoma",1153,1275,571.221,622
"Morton County, Kansas",1216,1026,620.1828,622
"Jackson County, Colorado",423,494,640.1302,622
"Lyon County, Iowa",2927,4492,462.417,623
"Harrison County, Iowa",3114,4179,466.0438,623
"Gillespie County, Texas",4742,9983,469.6706,623
"Saunders County, Nebraska",3394,5066,473.2974,623
"Otero County, Colorado",6046,5694,484.1778,623
"Wilson County, Texas",2919,7644,495.0582,623
"Aitkin County, Minnesota",2607,3566,496.8716,623
"Baldwin County, Alabama",26174,64517,505.9386,623
"Richland County, Wisconsin",4419,5738,522.2592,623
"Lauderdale County, Alabama",26063,28484,553.087,623
"Menominee County, Wisconsin",970,2164,563.9674,623
"Audrain County, Missouri",8438,9421,620.1828,623
"Buena Vista City, Virginia",2182,2568,681.8384,623
"Bath County, Kentucky",1379,1759,446.0964,624
"Monona County, Iowa",2644,2740,471.484,624
"San Augustine County, Texas",1559,1547,485.9912,624
"Madison County, Iowa",2599,3660,491.4314,624
"Chilton County, Alabama",6081,9139,505.9386,624
"Lauderdale County, Tennessee",7860,6191,524.0726,624
"Dawson County, Nebraska",7300,11314,529.5128,624
"Perry County, Missouri",6056,9666,534.953,624
"Neosho County, Kansas",6837,6123,534.953,624
"Union County, Illinois",5106,4744,544.02,624
"Johnson County, Missouri",11983,14995,556.7138,624
"Decatur County, Tennessee",3264,3471,462.417,625
"Lincoln County, Arkansas",2393,2948,531.3262,625
"Chowan County, North Carolina",4723,4514,547.6468,625
"Lincoln County, Tennessee",8058,8932,556.7138,625
"Gibson County, Tennessee",16893,13275,582.1014,625
"Yates County, New York",4327,6531,585.7282,625
"Chaves County, New Mexico",19579,21502,605.6756,625
"Monroe County, Illinois",4470,7854,605.6756,625
"Leslie County, Kentucky",2865,1685,799.7094,625
"Roberts County, Texas",232,268,825.097,625
"Furnas County, Nebraska",1551,1978,424.3356,626
"Taylor County, Iowa",1467,1941,426.149,626
"Ravalli County, Montana",5181,10807,502.3118,626
"Cache County, Utah",28323,50604,509.5654,626
"Charlton County, Georgia",1736,1967,518.6324,626
"Llano County, Texas",2543,4465,533.1396,626
"Wayne County, Mississippi",4614,4915,549.4602,626
"Alcorn County, Mississippi",12156,13848,603.8622,626
"Cass County, Indiana",15101,14257,605.6756,626
"Mecosta County, Michigan",8667,13507,605.6756,626
"Sheridan County, Kansas",787,951,458.7902,627
"Lac Qui Parle County, Minnesota",2186,2234,478.7376,627
"Summit County, Colorado",13930,22800,507.752,627
"Watauga County, North Carolina",14327,21609,529.5128,627
"Bolivar County, Mississippi",11106,11540,538.5798,627
"Scott County, Indiana",5043,7310,542.2066,627
"Mono County, California",6308,7204,556.7138,627
"Morrison County, Minnesota",7828,10247,571.221,627
"Polk County, Oregon",9784,18338,574.8478,627
"Berrien County, Georgia",4581,3306,574.8478,627
"Wabash County, Illinois",5508,3091,710.8528,627
"Ransom County, North Dakota",1613,2080,447.9098,628
"Chase County, Nebraska",1402,1798,473.2974,628
"Douglas County, Washington",6547,10149,478.7376,628
"Kit Carson County, Colorado",2390,3039,478.7376,628
"Sully County, South Dakota",394,501,493.2448,628
"Leelanau County, Michigan",2780,5357,513.1922,628
"Worcester County, Maryland",15419,19080,549.4602,628
"Sabine Parish, Louisiana",4929,5369,556.7138,628
"Scott County, Missouri",13381,15242,558.5272,628
"Josephine County, Oregon",17728,24331,569.4076,628
"Canyon County, Idaho",28995,56393,578.4746,628
"Morgan County, Georgia",4631,6415,583.9148,628
"San Juan Municipio, Puerto Rico",286282,248649,257.5028,629
"Crenshaw County, Alabama",3666,3733,442.4696,629
"Mason County, Illinois",3038,3118,520.4458,629
"Crawford County, Arkansas",10860,19104,547.6468,629
"Rice County, Kansas",3115,3989,558.5272,629
"Columbus County, North Carolina",16120,15225,596.6086,629
"Pointe Coupee Parish, Louisiana",4530,5047,643.757,629
"Monroe County, Ohio",4854,2881,984.6762,629
"Boone County, Nebraska",1751,2292,435.216,630
"McCreary County, Kentucky",2025,2653,446.0964,630
"Henderson County, Tennessee",7621,8163,520.4458,630
"Pulaski County, Kentucky",17945,25038,534.953,630
"Deer Lodge County, Montana",2606,3241,542.2066,630
"Wilson County, Kansas",3031,3427,553.087,630
"Cass County, Illinois",4322,5684,563.9674,630
"Shenandoah County, Virginia",12438,13630,567.5942,630
"Union County, South Carolina",10241,7124,569.4076,630
"Knox County, Illinois",20930,18870,607.489,630
"Graham County, Kansas",1198,933,487.8046,631
"Tyler County, Texas",3542,4020,498.685,631
"Box Butte County, Nebraska",3640,3828,505.9386,631
"Panola County, Mississippi",9911,10657,525.886,631
"Minidoka County, Idaho",6051,7091,563.9674,631
